t,temp_c,clock_mhz,fps,throttled
0.1799335479736328,45.1,1400.146,0.0,0
2.191490650177002,47.2,1400.0,130.85006087799272,0
4.20435643196106,47.8,1400.0,121.99207197929663,0
6.213990688323975,48.9,1400.0,128.79748103036,0
8.221832513809204,49.4,1400.0,136.21665858909768,0
10.228673934936523,49.9,1400.0,130.67230508938994,0
12.241408109664917,50.5,1400.0,129.71728247999252,0
14.251257181167603,50.5,1400.0,127.42423004869653,0
16.264830589294434,51.5,1400.0,119.59864131158668,0
18.276337146759033,51.5,1400.0,123.6437822630609,0
20.288385152816772,52.1,1400.0,106.66888537923765,0
22.300263166427612,52.1,1400.0,115.40172147050926,0
24.311344861984253,51.5,1399.998,109.18929460145092,0
26.323708534240723,52.6,1400.0,125.3176803199202,0
28.33441734313965,52.6,1400.0,126.53642104136526,0
30.343939065933228,52.6,1400.0,128.32139067506225,0
32.34887933731079,53.2,1400.0,99.93947665285097,0
34.36042070388794,52.6,1400.0,119.60871205938052,0
36.36921715736389,53.2,1399.998,122.87234251670903,0
38.37459635734558,53.7,1400.0,113.71337860644633,0
40.38064002990723,53.7,1400.0,125.44500045856724,0
42.39051389694214,53.7,1400.0,127.79611510020564,0
44.40131878852844,53.7,1400.0,105.93881334346453,0
46.411725759506226,54.2,1400.0,116.35011098059827,0
48.42180776596069,53.7,1400.002,115.50106266740922,0
50.43084454536438,54.8,1400.0,109.69226602628143,0
52.44230508804321,54.2,1400.0,114.84326191611677,0
54.45103430747986,54.2,1400.0,118.76885158608513,0
56.46338129043579,54.8,1400.0,106.11837143512292,0
58.47341728210449,55.3,1400.0,130.5209548133103,0
60.4797945022583,54.8,1400.0,131.15961626851222,0
62.4863383769989,54.8,1400.0,127.59582542143588,0
64.49743795394897,55.8,1400.0,119.67356879989423,0
66.50820922851562,55.8,1400.0,98.90282154914306,0
68.5190908908844,55.8,1400.0,126.47696639448081,0
70.52489757537842,55.8,1400.0,127.94081560210287,0
72.5338761806488,55.8,1400.0,143.68497356943158,0
74.54036140441895,56.4,1400.0,145.49687181758225,0
76.5492491722107,55.8,1400.0,126.11926114772349,0
78.55823469161987,55.8,1400.0,111.33630734876921,0
80.57066178321838,55.8,1400.0,124.33714314768055,0
82.58096075057983,55.8,1400.0,121.2830240027008,0
84.59063959121704,56.9,1400.0,116.37724615337511,0
86.59806489944458,56.9,1400.0,118.62418718702953,0
88.61118721961975,56.9,1400.0,126.32106570524235,0
90.61821508407593,56.9,1400.0,130.72228638508142,0
92.62729048728943,56.4,1400.0,116.76374793887757,0
94.6328136920929,56.9,1400.0,137.4506964347992,0
96.6467432975769,56.9,1400.0,124.43913725353403,0
98.65876936912537,56.9,1399.998,139.98134608556822,0
100.67110681533813,57.5,1400.0,129.63590976950024,0
102.67935490608215,57.5,1400.0,139.46415917542367,0
104.68777132034302,56.9,1400.0,128.1129197522781,0
106.70213437080383,57.5,1400.0,136.90031671914954,0
108.71241736412048,58.0,1400.0,138.90111990454557,0
110.72486591339111,57.5,1400.0,118.7473437702449,0
112.73588633537292,57.5,1400.0,122.52050656368354,0
114.74168181419373,56.9,1400.0,136.08791605978283,0
116.74702167510986,58.0,1400.0,146.6800654014418,0
118.75268578529358,58.5,1400.0,143.95477747035966,0
120.76323366165161,58.0,1400.0,131.38703585707376,0
122.76878643035889,58.0,1400.0,122.75674327344998,0
124.77887487411499,58.0,1400.0,128.07844548655018,0
126.78610062599182,58.5,1400.0,112.64134376619153,0
128.79549288749695,58.5,1400.0,111.55429152128951,0
130.80225324630737,58.5,1400.0,116.5369144660418,0
132.81112957000732,58.0,1400.0,128.89165805459677,0
134.82058262825012,58.0,1400.0,110.09945614141267,0
136.8327190876007,59.1,1400.0,118.3168015182483,0
138.84642815589905,58.5,1400.0,111.2081340297685,0
140.85543823242188,59.1,1400.0,112.81716996092145,0
142.8681342601776,59.1,1400.0,102.68828693267639,0
144.88158893585205,59.1,1400.0,105.82825851576182,0
146.89202880859375,59.1,1400.0,88.93452613489644,0
148.9005389213562,59.1,1400.0,100.87622094282088,0
150.90956211090088,58.5,1400.0,98.03452540692844,0
152.92137050628662,59.6,1400.0,113.15981934676009,0
154.93207478523254,59.1,1400.0,124.32712605334413,0
156.9390094280243,59.6,1400.0,129.07531092657294,0
158.94504189491272,60.1,1400.0,127.75742034240817,0
160.957515001297,59.1,1400.0,129.61457033727802,1
162.97227311134338,59.1,1400.0,107.97476802433111,1
164.98004484176636,59.6,1400.0,113.52961999152626,1
166.99322652816772,59.1,1400.0,117.38104575502196,1
168.99937868118286,60.1,1400.0,113.22926582492478,1
171.00565934181213,59.6,1400.0,119.49324349358754,1
173.01783776283264,60.1,1200.0,100.47352166027424,1
175.0273358821869,60.1,1400.0,101.60669653166794,1
177.03907656669617,59.6,1400.0,106.69559682240042,1
179.0480489730835,59.6,1400.0,115.05467398089714,1
181.05781769752502,59.6,1400.0,116.22005430531546,1
183.0646939277649,59.6,1400.002,104.49814348596361,1
185.07525205612183,59.6,1399.998,96.94518922589155,1
187.08192896842957,60.1,1400.0,111.79229885216515,1
189.09398436546326,59.6,1400.0,117.35299981853008,1
191.1034939289093,59.6,1200.0,98.72836873774622,1
193.11383605003357,59.6,1400.0,112.73123430782306,1
195.12713384628296,59.6,1400.0,116.99313601310398,1
197.13721013069153,59.6,1400.0,125.69951781721602,1
199.14920783042908,59.1,1400.0,125.83762240407744,1
201.15947222709656,60.1,1200.0,126.77563539653195,1
203.17146468162537,60.1,1400.0,135.40657041415128,1
205.1801381111145,60.1,1400.0,135.43572924460383,1
207.19029664993286,59.6,1400.0,144.87009209160223,1
209.19898557662964,59.1,1200.0,99.65946361243844,1
211.20692777633667,60.1,1400.0,121.43737650610846,1
213.2173728942871,60.1,1400.0,131.3751775532122,1
215.22855138778687,60.1,1400.0,132.9980541051303,1
217.23406338691711,59.1,1200.0,108.67253563543564,1
219.24655199050903,59.1,1400.0,129.84417789774264,1
221.25862741470337,60.1,1400.0,134.62249630787224,1
223.26431369781494,59.1,1200.0,128.3988128754167,1
225.27138495445251,59.6,1400.0,134.55239598043593,1
227.28526425361633,59.6,1200.0,114.29783638766948,1
229.2937536239624,59.1,1400.0,128.44736676450577,1
231.3012340068817,60.1,1200.0,123.71110043616902,1
233.31515979766846,59.6,1400.0,113.75431910945484,1
235.32456374168396,59.6,1400.002,115.30072966914574,1
237.33687138557434,59.6,1400.0,117.71239612825198,1
239.3449969291687,60.1,1400.0,101.63639680683396,1
241.35402154922485,60.1,1399.998,108.46579899795535,1
243.3655548095703,60.1,1400.0,126.91724361117537,1
245.37355041503906,60.1,1200.0,106.63606922377987,1
247.3816146850586,59.6,1400.0,117.1833711171223,1
249.38878989219666,60.1,1200.0,106.58125387099587,1
251.39596486091614,60.1,1200.0,107.48882143110475,1
253.40297508239746,59.6,1200.0,105.39606788358773,1
255.41026306152344,59.6,1400.0,115.72572586305193,1
257.41834354400635,59.6,1399.998,117.12567045668509,1
259.4310395717621,60.1,1400.0,107.47687608147338,1
261.441490650177,60.1,1200.0,93.88673429247142,1
263.44925808906555,60.1,1200.0,108.84612010352953,1
265.4575672149658,60.1,1400.002,123.21288944805303,1
267.4661786556244,59.6,1400.0,114.39791576149824,1
269.4746754169464,60.1,1200.0,113.8025153091282,1
271.4861364364624,60.1,1200.0,104.30237927318142,1
273.49260544776917,60.1,1200.0,113.09530541411272,1
275.50606966018677,60.1,1200.0,111.11133333335334,1
277.5133709907532,59.6,1400.0,118.20448335431279,1
