frame,t_rel,algorithm,controller,armed,detected,inferred,confidence,lane_center,left_x,right_x,error_px,smoothed_error_px,steer,command,p_term,i_term,d_term,left_duty,right_duty,latency_ms,loop_ms,fps,t_grayscale,t_blur,t_threshold,t_canny,t_roi,t_detect,t_control,t_render
1,0.7143,histogram,pid,0,1,0,0.0403,157.3078,4.4719,310.1437,-2.6922,-0.8077,-0.0673,STOP,-0.0673,-0.0,0.0,0.0,0.0,60.8506,0.0,0.0,2.1312,18.0142,0.9687,4.48,0.1734,8.3228,0.3052,651.104
2,0.7306,histogram,pid,0,1,0,0.0333,157.2883,4.4329,310.1437,-2.7117,-1.3789,-0.0805,STOP,-0.0678,-0.0127,-0.0,0.0,0.0,18.947,705.4374,1.4176,0.4389,1.1345,0.539,1.5603,0.0648,3.7918,0.1781,0.0
3,0.7469,histogram,pid,0,1,0,0.0333,157.2883,4.4329,310.1437,-2.7117,-1.7787,-0.081,STOP,-0.0678,-0.0132,-0.0,0.0,0.0,35.2876,16.4714,60.7113,0.7247,1.3397,0.4795,1.4228,0.0484,3.4938,0.1485,0.0
4,0.8079,histogram,pid,0,1,0,0.05,157.4108,4.5681,310.2534,-2.5892,-2.0219,-0.0753,STOP,-0.0647,-0.0135,0.003,0.0,0.0,23.7278,15.524,64.4164,0.4363,1.0475,0.3879,4.1723,0.0491,3.7895,0.165,32.8569
5,0.8228,histogram,pid,0,1,0,0.0403,157.2828,4.3123,310.2534,-2.7172,-2.2305,-0.0817,STOP,-0.0679,-0.0151,0.0013,0.0,0.0,16.9739,60.9796,16.3989,0.437,1.0699,0.3899,1.3865,0.0617,3.524,0.1449,0.0
6,0.8402,histogram,pid,0,1,0,0.0403,157.2828,4.3123,310.2534,-2.7172,-2.3765,-0.0825,STOP,-0.0679,-0.0155,0.0009,0.0,0.0,34.4296,15.1073,66.193,0.4588,1.724,0.4324,1.8762,0.0611,4.6309,0.1465,0.0
7,0.9036,histogram,pid,0,1,0,0.0417,157.4244,4.7051,310.1437,-2.5756,-2.4362,-0.0765,STOP,-0.0644,-0.0159,0.0037,0.0,0.0,15.8659,17.0809,58.545,0.4789,0.9991,0.3929,1.2867,0.0556,3.4976,0.1425,37.7247
8,0.9217,histogram,pid,0,1,0,0.05,157.4856,4.7868,310.1845,-2.5144,-2.4597,-0.0773,STOP,-0.0629,-0.0174,0.003,0.0,0.0,54.423,64.9245,15.4025,0.4546,1.5013,0.4232,1.4556,0.0705,4.5641,0.2533,0.0
9,0.9422,histogram,pid,0,1,0,0.05,157.4856,4.7868,310.1845,-2.5144,-2.4761,-0.0786,STOP,-0.0629,-0.0179,0.0021,0.0,0.0,74.9378,19.2655,51.9062,0.523,1.92,0.4944,2.5532,0.0987,4.2384,0.158,0.0
10,1.0211,histogram,pid,0,1,0,0.0403,157.2164,4.2216,310.2111,-2.7836,-2.5683,-0.0917,STOP,-0.0696,-0.0184,-0.0037,0.0,0.0,33.5245,19.5633,51.1162,0.6707,1.9701,0.4706,2.0689,0.0564,7.3271,0.4648,49.363
11,1.0379,histogram,pid,0,1,0,0.0361,157.2852,4.4529,310.1175,-2.7148,-2.6123,-0.0905,STOP,-0.0679,-0.0204,-0.0023,0.0,0.0,40.7731,77.9828,12.8233,0.4658,1.0968,0.4467,1.9019,0.0491,4.0068,0.1772,0.0
12,1.0547,histogram,pid,0,1,0,0.0431,157.3347,4.4159,310.2534,-2.6653,-2.6282,-0.0879,STOP,-0.0666,-0.0208,-0.0005,0.0,0.0,25.7619,16.3989,60.9798,0.4418,1.1703,0.475,1.5695,0.0654,4.4962,0.2439,0.0
13,1.1127,histogram,pid,0,1,0,0.0431,157.3347,4.4159,310.2534,-2.6653,-2.6393,-0.0882,STOP,-0.0666,-0.0212,-0.0003,0.0,0.0,43.061,17.6201,56.7534,0.4513,1.1884,0.4564,1.7258,0.0523,4.0615,0.1689,38.0889
14,1.1296,histogram,pid,0,1,0,0.0444,157.2421,4.3405,310.1437,-2.7579,-2.6749,-0.0925,STOP,-0.0689,-0.0227,-0.0008,0.0,0.0,40.375,57.5912,17.3638,0.4856,1.1477,0.4311,1.8043,0.0549,4.1486,0.1843,0.0
15,1.1448,histogram,pid,0,1,0,0.0375,157.3237,4.4364,310.2111,-2.6763,-2.6753,-0.0887,STOP,-0.0669,-0.0231,0.0013,0.0,0.0,25.8691,16.1338,61.9818,0.4349,1.1515,0.3954,1.3518,0.059,3.8368,0.1491,0.0
16,1.2837,histogram,pid,0,1,0,0.0375,157.3237,4.4364,310.2111,-2.6763,-2.6756,-0.0895,STOP,-0.0669,-0.0235,0.0009,0.0,0.0,46.4882,16.1029,62.1005,0.5227,4.225,0.5674,1.4982,0.0839,4.7494,0.1503,104.3722
17,1.2997,histogram,pid,0,1,0,0.0403,157.2497,4.3819,310.1175,-2.7503,-2.698,-0.0954,STOP,-0.0688,-0.0271,0.0004,0.0,0.0,17.1519,138.5009,7.2202,0.4933,1.0894,0.4112,1.2752,0.0508,4.2005,0.1443,0.0
18,1.3151,histogram,pid,0,1,0,0.0403,157.2497,4.3819,310.1175,-2.7503,-2.7137,-0.0959,STOP,-0.0688,-0.0275,0.0003,0.0,0.0,32.5447,15.9072,62.8646,0.4645,1.0045,0.3937,1.4044,0.0578,3.7081,0.1404,0.0
19,1.3717,histogram,pid,0,1,0,0.0389,157.2848,4.426,310.1437,-2.7152,-2.7141,-0.0947,STOP,-0.0679,-0.0279,0.0011,0.0,0.0,24.4673,14.9521,66.8804,0.4403,1.0555,0.3993,1.2153,0.0523,3.878,0.1526,34.1642
20,1.3887,histogram,pid,0,1,0,0.0611,157.5504,4.9832,310.1175,-2.4496,-2.6348,-0.0879,STOP,-0.0612,-0.0292,0.0025,0.0,0.0,17.8125,56.6831,17.6419,0.4383,1.0663,0.3886,1.4031,0.0702,5.3423,0.2309,0.0
21,1.405,histogram,pid,0,1,0,0.0611,157.5504,4.9832,310.1175,-2.4496,-2.5792,-0.0891,STOP,-0.0612,-0.0296,0.0018,0.0,0.0,34.1644,17.8473,56.031,0.4385,1.015,0.3972,1.5478,0.0733,3.8807,0.1569,0.0
22,1.4757,histogram,pid,0,1,0,0.0611,157.5504,4.9832,310.1175,-2.4496,-2.5404,-0.09,STOP,-0.0612,-0.03,0.0012,0.0,0.0,52.0183,17.0811,58.5443,0.4634,1.1461,0.5194,2.1474,0.0655,3.7376,0.164,46.0612
23,1.4936,histogram,pid,0,1,0,0.0431,157.3695,4.5954,310.1437,-2.6305,-2.5674,-0.0976,STOP,-0.0658,-0.0317,-0.0001,0.0,0.0,20.975,69.4182,14.4054,0.5222,1.4998,0.4839,2.3682,0.0764,4.4928,0.1695,0.0
24,1.5112,histogram,pid,0,1,0,0.0431,157.3695,4.5954,310.1437,-2.6305,-2.5863,-0.098,STOP,-0.0658,-0.0322,-0.0001,0.0,0.0,38.5598,19.2286,52.0059,0.449,1.1679,0.4584,1.6567,0.0543,4.0171,0.1511,0.0
