frame,t_rel,algorithm,controller,armed,detected,inferred,confidence,lane_center,left_x,right_x,error_px,smoothed_error_px,steer,command,p_term,i_term,d_term,left_duty,right_duty,latency_ms,loop_ms,fps,t_grayscale,t_blur,t_threshold,t_canny,t_roi,t_detect,t_control,t_render
1,0.7521,histogram,pid,0,1,0,0.0361,158.3271,4.2019,312.4522,-1.6729,-0.5019,-0.0418,STOP,-0.0418,-0.0,0.0,0.0,0.0,61.9019,0.0,0.0,0.7113,19.1994,1.0504,5.8539,0.1806,7.0078,0.2627,686.6665
2,0.7712,histogram,pid,0,1,0,0.0333,158.2804,4.1476,312.4131,-1.7196,-0.8672,-0.0511,STOP,-0.043,-0.0081,-0.0,0.0,0.0,21.4888,742.7418,1.3464,0.4472,1.2031,0.6532,2.1373,0.0882,5.1855,0.1919,0.0
3,0.789,histogram,pid,0,1,0,0.0333,158.2804,4.1476,312.4131,-1.7196,-1.1229,-0.0514,STOP,-0.043,-0.0084,-0.0,0.0,0.0,39.3343,19.6354,50.9284,0.493,1.0545,0.5312,2.0758,0.0691,3.8915,0.1586,0.0
4,0.8495,histogram,pid,0,1,0,0.0417,158.3122,4.2143,312.4102,-1.6878,-1.2924,-0.0502,STOP,-0.0422,-0.0087,0.0007,0.0,0.0,27.221,16.7515,59.6961,0.445,1.0706,0.5191,2.4913,0.051,3.5631,0.1566,36.0274
5,0.8656,histogram,pid,0,1,0,0.0417,158.3534,4.2938,312.4131,-1.6466,-1.3986,-0.05,STOP,-0.0412,-0.0096,0.0007,0.0,0.0,25.7355,60.338,16.5733,0.4462,1.031,0.4254,1.5545,0.063,4.0968,0.1526,0.0
6,0.8814,histogram,pid,0,1,0,0.0417,158.3534,4.2938,312.4131,-1.6466,-1.473,-0.0505,STOP,-0.0412,-0.0098,0.0005,0.0,0.0,41.6004,16.2289,61.6184,0.4447,1.0113,0.3994,1.855,0.0597,3.5533,0.1453,0.0
7,0.9327,histogram,pid,0,1,0,0.0389,158.3892,4.329,312.4495,-1.6108,-1.5143,-0.0491,STOP,-0.0403,-0.0101,0.0012,0.0,0.0,25.8676,15.2578,65.5404,0.4359,1.02,0.3932,1.194,0.0806,3.9005,0.227,33.5884
8,0.9488,histogram,pid,0,1,0,0.0319,158.1827,3.9553,312.4102,-1.8173,-1.6052,-0.057,STOP,-0.0454,-0.011,-0.0006,0.0,0.0,46.4172,51.9249,19.2586,0.459,1.1626,0.5188,1.5436,0.048,3.7756,0.1452,0.0
9,0.9688,histogram,pid,0,1,0,0.0361,158.2582,4.1062,312.4102,-1.7418,-1.6462,-0.0534,STOP,-0.0435,-0.0112,0.0014,0.0,0.0,24.7631,15.7409,63.5288,0.4771,1.9346,0.5965,2.1215,0.0685,6.4035,0.1898,0.0
10,1.1407,histogram,pid,0,1,0,0.0361,158.2582,4.1062,312.4102,-1.7418,-1.6749,-0.0542,STOP,-0.0435,-0.0116,0.001,0.0,0.0,50.1679,22.3685,44.7057,0.5835,1.2483,3.3653,3.2776,0.1026,5.5882,0.3229,47.6308
11,1.1581,histogram,pid,0,1,0,0.0431,158.3849,4.3568,312.4131,-1.6151,-1.6569,-0.0536,STOP,-0.0404,-0.0142,0.0009,0.0,0.0,38.2265,171.2779,5.8385,0.5485,1.2458,0.4391,1.4156,0.0521,3.6864,0.1404,0.0
12,1.1758,histogram,pid,0,1,0,0.0431,158.3849,4.3568,312.4131,-1.6151,-1.6444,-0.0541,STOP,-0.0404,-0.0144,0.0007,0.0,0.0,55.8569,16.5546,60.4061,0.4849,1.3442,0.5024,1.2776,0.063,4.6279,0.1992,0.0
13,1.2812,histogram,pid,0,1,0,0.0333,158.2932,4.137,312.4495,-1.7068,-1.6631,-0.0587,STOP,-0.0427,-0.0147,-0.0013,0.0,0.0,34.367,19.3888,51.5763,0.6185,1.2774,0.4732,1.4453,0.0527,6.2117,0.3343,63.0632
14,1.2967,histogram,pid,0,1,0,0.0458,158.3396,4.2269,312.4522,-1.6604,-1.6623,-0.0586,STOP,-0.0415,-0.0163,-0.0007,0.0,0.0,16.4477,103.0476,9.7042,0.4448,1.0572,0.3929,1.3976,0.051,3.6154,0.1406,0.0
15,1.314,histogram,pid,0,1,0,0.0458,158.3396,4.2269,312.4522,-1.6604,-1.6617,-0.0586,STOP,-0.0415,-0.0166,-0.0005,0.0,0.0,33.8342,15.4783,64.6066,0.4464,1.1498,0.765,1.9254,0.0663,3.8518,0.1441,0.0
16,1.3759,histogram,pid,0,1,0,0.0306,158.1839,3.9546,312.4131,-1.8161,-1.7081,-0.0661,STOP,-0.0454,-0.0169,-0.0039,0.0,0.0,16.7812,16.7395,59.739,0.4411,1.0886,0.4023,1.9268,0.0562,3.3419,0.1423,35.4542
17,1.394,histogram,pid,0,1,0,0.0431,158.2937,4.1743,312.4131,-1.7063,-1.7075,-0.0626,STOP,-0.0427,-0.0179,-0.0021,0.0,0.0,51.962,63.8706,15.6566,0.4779,1.0912,0.3876,1.7376,0.0508,4.3493,0.1983,0.0
18,1.4167,histogram,pid,0,1,0,0.0431,158.2937,4.1743,312.4131,-1.7063,-1.7072,-0.0623,STOP,-0.0427,-0.0182,-0.0014,0.0,0.0,74.7474,22.2923,44.8586,0.4811,1.0818,0.4242,2.2609,0.0688,3.5954,0.1939,0.0
19,1.4814,histogram,pid,0,1,0,0.0403,158.3788,4.3445,312.4131,-1.6212,-1.6814,-0.0583,STOP,-0.0405,-0.0185,0.0008,0.0,0.0,41.0946,17.9591,55.6819,0.5091,1.4364,0.5024,1.8894,0.1191,5.5738,0.224,38.4309
20,1.4975,histogram,pid,0,1,0,0.0236,158.1581,3.9031,312.4131,-1.8419,-1.7295,-0.0664,STOP,-0.046,-0.0196,-0.0008,0.0,0.0,29.942,63.6054,15.7219,0.4538,1.0562,0.4324,2.0921,0.0511,3.7449,0.1806,0.0
21,1.5124,histogram,pid,0,1,0,0.0236,158.1581,3.9031,312.4131,-1.8419,-1.7633,-0.0665,STOP,-0.046,-0.0199,-0.0005,0.0,0.0,44.8394,16.4639,60.7389,0.425,1.0144,0.3958,1.0405,0.0509,3.4024,0.1505,0.0
22,1.5792,histogram,pid,0,1,0,0.0403,158.3066,4.203,312.4102,-1.6934,-1.7423,-0.0589,STOP,-0.0423,-0.0201,0.0035,0.0,0.0,28.1065,14.3398,69.7361,0.4718,1.3352,0.466,1.2068,0.0539,4.0284,0.3017,42.3573
