frame,t_rel,algorithm,controller,armed,detected,inferred,confidence,lane_center,left_x,right_x,error_px,smoothed_error_px,steer,command,p_term,i_term,d_term,left_duty,right_duty,latency_ms,loop_ms,fps,t_grayscale,t_blur,t_threshold,t_canny,t_roi,t_detect,t_control,t_render
22,1.2701,histogram,pid,0,1,0,0.075,156.5926,6.2028,306.9824,-3.4074,-3.4226,-0.1178,STOP,-0.0852,-0.035,0.0024,0.0,0.0,33.7489,15.2798,65.4459,0.8235,1.524,0.608,1.3449,0.0555,4.2183,0.2499,11.6913
23,1.2942,histogram,pid,0,1,0,0.0681,156.6945,6.4165,306.9726,-3.3055,-3.3874,-0.116,STOP,-0.0826,-0.0361,0.0027,0.0,0.0,47.7108,36.2257,27.6047,0.5158,4.1695,0.5408,2.1438,0.0664,5.5783,0.4802,0.0
24,1.3151,histogram,pid,0,1,0,0.0681,156.6945,6.4165,306.9726,-3.3055,-3.3628,-0.1176,STOP,-0.0826,-0.0368,0.0019,0.0,0.0,68.6048,24.1263,41.4485,0.5371,2.21,0.4627,1.5099,0.054,5.282,0.3154,0.0
25,1.362,histogram,pid,0,1,0,0.0833,156.5227,6.0729,306.9726,-3.4773,-3.3972,-0.1261,STOP,-0.0869,-0.0375,-0.0016,0.0,0.0,40.985,21.9022,45.6576,0.8047,1.0712,0.8919,4.3935,0.0634,9.9736,0.2304,12.465
26,1.381,histogram,pid,0,1,0,0.0708,156.7022,6.4317,306.9726,-3.2978,-3.3674,-0.121,STOP,-0.0824,-0.0389,0.0004,0.0,0.0,30.246,44.7024,22.3702,0.4666,1.115,0.6458,2.3547,0.0533,5.0318,0.1583,0.0
27,1.3992,histogram,pid,0,1,0,0.0806,156.541,6.0996,306.9824,-3.459,-3.3949,-0.129,STOP,-0.0865,-0.0395,-0.003,0.0,0.0,20.0923,18.4632,54.1618,0.4558,1.802,0.4324,2.2803,0.058,4.3591,0.1557,0.0
28,1.432,histogram,pid,0,1,0,0.0806,156.541,6.0996,306.9824,-3.459,-3.4141,-0.1288,STOP,-0.0865,-0.0402,-0.0021,0.0,0.0,38.2337,20.1389,49.655,0.4406,1.2864,0.4564,1.4346,0.0554,3.7761,0.1487,9.0965
29,1.4476,histogram,pid,0,1,0,0.0722,156.6283,6.2742,306.9824,-3.3717,-3.4014,-0.1258,STOP,-0.0843,-0.0411,-0.0004,0.0,0.0,42.581,30.4729,32.8161,0.4321,1.0227,0.4158,1.3726,0.0565,3.9104,0.1471,0.0
30,1.4631,histogram,pid,0,1,0,0.075,156.5983,6.2143,306.9824,-3.4017,-3.4015,-0.1277,STOP,-0.085,-0.0416,-0.001,0.0,0.0,26.3935,15.1696,65.9211,0.4412,1.0161,0.4241,1.4585,0.0629,4.0496,0.1872,0.0
31,1.4918,histogram,pid,0,1,0,0.075,156.5983,6.2143,306.9824,-3.4017,-3.4015,-0.1279,STOP,-0.085,-0.0421,-0.0007,0.0,0.0,42.1175,16.1184,62.041,0.4439,1.0074,0.4111,1.398,0.0571,3.7513,0.1897,8.8395
32,1.5073,histogram,pid,0,1,0,0.075,156.5517,6.1211,306.9824,-3.4483,-3.4155,-0.1304,STOP,-0.0862,-0.0431,-0.0011,0.0,0.0,40.6124,28.5315,35.0489,0.4295,1.0156,0.3955,1.2886,0.056,3.9102,0.1495,0.0
33,1.5255,histogram,pid,0,1,0,0.0681,156.7977,6.613,306.9823,-3.2023,-3.3516,-0.1186,STOP,-0.0801,-0.0435,0.005,0.0,0.0,27.3691,16.0397,62.3454,0.5191,1.1977,0.5558,2.8059,0.0541,4.0469,0.1597,0.0
34,1.5575,histogram,pid,0,1,0,0.0681,156.7977,6.613,306.9823,-3.2023,-3.3068,-0.1207,STOP,-0.0801,-0.0441,0.0035,0.0,0.0,45.1994,18.2224,54.8774,0.455,2.1075,0.4316,2.0932,0.053,3.7049,0.1452,9.1519
35,1.5746,histogram,pid,0,1,0,0.0708,156.7451,6.5077,306.9824,-3.2549,-3.2912,-0.1246,STOP,-0.0814,-0.0451,0.0018,0.0,0.0,44.2904,32.5321,30.7389,0.462,1.065,0.4002,1.265,0.0523,4.3114,0.1671,0.0
36,1.5925,histogram,pid,0,1,0,0.0681,156.0897,6.4094,305.7701,-3.9103,-3.477,-0.1577,STOP,-0.0978,-0.0457,-0.0143,0.0,0.0,26.2821,15.8102,63.2505,0.4969,1.18,0.4937,2.3999,0.0539,4.975,0.2092,0.0
37,1.6355,histogram,pid,0,1,0,0.0681,156.0897,6.4094,305.7701,-3.9103,-3.607,-0.1542,STOP,-0.0978,-0.0465,-0.01,0.0,0.0,50.4617,22.6074,44.2334,0.4367,1.9764,0.4761,4.0782,0.053,4.1788,0.1546,12.4815
38,1.6527,histogram,pid,0,1,0,0.0708,156.0444,6.3187,305.7701,-3.9556,-3.7116,-0.1542,STOP,-0.0989,-0.0479,-0.0074,0.0,0.0,23.4731,38.2964,26.1121,0.4397,2.1865,0.4366,1.5791,0.086,4.1136,0.1996,0.0
39,1.6691,histogram,pid,0,1,0,0.0708,156.0444,6.3187,305.7701,-3.9556,-3.7848,-0.1527,STOP,-0.0989,-0.0486,-0.0052,0.0,0.0,39.8664,18.3699,54.4369,0.4559,1.0999,0.4088,1.1573,0.0537,3.875,0.1409,0.0
40,1.6999,histogram,pid,0,1,0,0.0708,156.0876,6.4052,305.7701,-3.9124,-3.8231,-0.1495,STOP,-0.0978,-0.0491,-0.0026,0.0,0.0,30.2975,15.0202,66.5771,0.4596,2.0349,0.4626,1.5611,0.0648,4.9571,0.141,9.5076
41,1.7168,histogram,pid,0,1,0,0.0764,156.6573,6.3323,306.9823,-3.3427,-3.679,-0.1288,STOP,-0.0836,-0.0501,0.0049,0.0,0.0,28.0621,31.957,31.2921,0.4604,1.0377,0.4379,1.3999,0.0692,4.3672,0.1472,0.0
42,1.7329,histogram,pid,0,1,0,0.0764,156.6573,6.3323,306.9823,-3.3427,-3.5781,-0.1308,STOP,-0.0836,-0.0507,0.0034,0.0,0.0,44.109,16.7646,59.6497,0.4357,1.0454,0.4079,1.3137,0.0561,3.8205,0.1412,0.0
43,1.7639,histogram,pid,0,1,0,0.0722,156.6359,6.2894,306.9824,-3.3641,-3.5139,-0.1334,STOP,-0.0841,-0.0511,0.0019,0.0,0.0,29.082,14.9869,66.7247,0.4398,1.0377,0.4375,1.5595,0.0569,4.7522,0.1467,9.9099
44,1.7796,histogram,pid,0,1,0,0.0764,156.6266,6.2578,306.9954,-3.3734,-3.4717,-0.1353,STOP,-0.0843,-0.0521,0.0012,0.0,0.0,26.3541,31.0241,32.233,0.4508,1.1439,0.4293,1.37,0.0571,4.3466,0.1453,0.0
45,1.795,histogram,pid,0,1,0,0.0764,156.6266,6.2578,306.9954,-3.3734,-3.4422,-0.1361,STOP,-0.0843,-0.0526,0.0008,0.0,0.0,41.7017,15.9979,62.5082,0.4181,1.2962,0.3903,1.3197,0.0531,3.6994,0.158,0.0
46,1.8263,histogram,pid,0,1,0,0.0736,156.6107,6.2391,306.9824,-3.3893,-3.4263,-0.1376,STOP,-0.0847,-0.0531,0.0002,0.0,0.0,26.9349,14.9907,66.7078,0.4981,1.5079,0.4525,1.3185,0.0689,5.3582,0.1582,10.1414
47,1.847,histogram,pid,0,1,0,0.0792,156.005,6.2399,305.7701,-3.995,-3.5969,-0.1611,STOP,-0.0999,-0.0543,-0.0069,0.0,0.0,32.4644,32.0886,31.1637,0.5615,2.9474,0.5059,2.9058,0.0681,5.0202,0.1516,0.0
48,1.8629,histogram,pid,0,1,0,0.0792,156.005,6.2399,305.7701,-3.995,-3.7164,-0.1598,STOP,-0.0999,-0.0551,-0.0049,0.0,0.0,48.3635,20.3071,49.2439,0.4882,1.0605,0.3985,1.3549,0.0513,4.0564,0.2072,0.0
49,1.8979,histogram,pid,0,1,0,0.075,156.679,6.3756,306.9824,-3.321,-3.5978,-0.1261,STOP,-0.083,-0.0556,0.0125,0.0,0.0,31.883,15.9076,62.8628,0.4575,3.5512,0.434,2.4728,0.0549,4.6104,0.1907,10.0486
50,1.9156,histogram,pid,0,1,0,0.0708,156.6037,6.2249,306.9824,-3.3963,-3.5373,-0.1337,STOP,-0.0849,-0.0567,0.0079,0.0,0.0,41.2418,35.448,28.2104,0.4298,1.646,0.4095,2.6617,0.052,3.8426,0.1461,0.0
51,1.9315,histogram,pid,0,1,0,0.0778,156.5972,6.2121,306.9824,-3.4028,-3.497,-0.1369,STOP,-0.0851,-0.0572,0.0054,0.0,0.0,25.7907,16.9391,59.0349,0.4425,1.0788,0.4045,1.7877,0.0634,4.2411,0.1506,0.0
52,1.9611,histogram,pid,0,1,0,0.0778,156.5972,6.2121,306.9824,-3.4028,-3.4687,-0.139,STOP,-0.0851,-0.0577,0.0038,0.0,0.0,41.6508,16.3528,61.1516,0.4269,1.0727,0.3974,1.7227,0.0541,3.8827,0.1479,8.8781
53,1.9767,histogram,pid,0,1,0,0.0736,156.0139,6.2577,305.7701,-3.9861,-3.6239,-0.1632,STOP,-0.0997,-0.0589,-0.0047,0.0,0.0,39.1745,29.6979,33.6724,0.4245,1.0039,0.4338,1.1422,0.0548,4.0232,0.1827,0.0
