frame,t_rel,algorithm,controller,armed,detected,inferred,confidence,lane_center,left_x,right_x,error_px,smoothed_error_px,steer,command,p_term,i_term,d_term,left_duty,right_duty,latency_ms,loop_ms,fps,t_grayscale,t_blur,t_threshold,t_canny,t_roi,t_detect,t_control,t_render
22,1.5684,histogram,pid,0,1,0,0.0264,155.7746,4.6611,306.8881,-4.2254,-4.2963,-0.1465,STOP,-0.1056,-0.0456,0.0047,0.0,0.0,20.79,14.5638,68.6635,0.4273,1.013,0.391,1.0047,0.0509,3.4886,0.1459,36.1724
23,1.5825,histogram,pid,0,1,1,0.1,166.7401,,307.2005,6.7401,-0.9854,0.1981,STOP,0.1685,-0.0418,0.0714,0.0,0.0,15.5603,60.3794,16.5619,0.4332,1.0225,0.3922,1.3373,0.0486,3.0034,0.1444,0.0
24,1.5979,histogram,pid,0,1,1,0.1,166.7401,,307.2005,6.7401,1.3323,0.1776,STOP,0.1685,-0.0409,0.05,0.0,0.0,30.9461,14.5972,68.5065,0.4807,1.1099,0.4204,1.242,0.0491,3.7562,0.1692,0.0
25,1.6767,histogram,pid,0,1,1,0.1,166.7401,,307.2005,6.7401,2.9546,0.1637,STOP,0.1685,-0.0398,0.035,0.0,0.0,47.8953,17.085,58.5308,0.7064,1.0689,0.4396,1.3477,0.0498,3.2689,0.2098,55.7138
26,1.6929,histogram,pid,0,1,0,0.0306,155.8325,4.4615,307.2035,-4.1675,0.818,-0.1756,STOP,-0.1042,-0.0428,-0.0286,0.0,0.0,30.3829,77.0051,12.9861,0.4611,1.0602,0.5152,1.3666,0.0442,4.5565,0.1511,0.0
27,1.7078,histogram,pid,0,1,0,0.0306,155.8325,4.4615,307.2035,-4.1675,-0.6776,-0.1676,STOP,-0.1042,-0.0434,-0.02,0.0,0.0,45.2254,16.2597,61.5018,0.4403,1.0243,0.4415,0.9995,0.0591,3.6148,0.1435,0.0
28,1.7684,histogram,pid,0,1,0,0.0319,155.8103,4.4202,307.2005,-4.1897,-1.7313,-0.1633,STOP,-0.1047,-0.044,-0.0146,0.0,0.0,29.7908,14.554,68.7097,0.465,1.0265,0.4301,1.9588,0.0478,4.4835,0.1439,37.5689
29,1.7837,histogram,pid,0,1,0,0.0264,155.7466,4.2928,307.2005,-4.2534,-2.4879,-0.1634,STOP,-0.1063,-0.0464,-0.0106,0.0,0.0,29.7048,60.5752,16.5084,0.4548,1.0441,0.4081,1.2294,0.0559,4.1557,0.1407,0.0
30,1.7988,histogram,pid,0,1,0,0.0264,155.7466,4.2928,307.2005,-4.2534,-3.0175,-0.1608,STOP,-0.1063,-0.047,-0.0074,0.0,0.0,44.8684,15.5606,64.265,0.4802,1.1052,0.406,1.3124,0.0524,3.5693,0.1621,0.0
31,1.8618,histogram,pid,0,1,0,0.0222,155.7835,4.3665,307.2005,-4.2165,-3.3772,-0.1573,STOP,-0.1054,-0.0476,-0.0043,0.0,0.0,24.9994,14.8218,67.4682,0.5983,1.0718,0.4583,1.0798,0.06,4.0652,0.1528,40.8943
