frame,t_rel,algorithm,controller,armed,detected,inferred,confidence,lane_center,left_x,right_x,error_px,smoothed_error_px,steer,command,p_term,i_term,d_term,left_duty,right_duty,latency_ms,loop_ms,fps,t_grayscale,t_blur,t_threshold,t_canny,t_roi,t_detect,t_control,t_render
23,4.4961,histogram,pid,0,1,0,0.3736,159.2491,11.0929,307.4053,-0.7509,-0.7664,-0.0271,STOP,-0.0188,-0.0082,-0.0002,0.0,0.0,42.6104,15.2923,65.3925,0.4058,4.059,0.4559,5.229,0.0978,5.5631,0.1601,0.0
24,4.5059,histogram,pid,0,1,0,0.375,159.2158,11.0307,307.4009,-0.7842,-0.7718,-0.0287,STOP,-0.0196,-0.0083,-0.0008,0.0,0.0,11.2884,17.4566,57.285,0.4586,1.213,0.4443,1.2779,0.0521,4.7665,0.1628,0.0
25,4.5614,histogram,pid,0,1,0,0.375,159.2158,11.0307,307.4009,-0.7842,-0.7755,-0.0285,STOP,-0.0196,-0.0084,-0.0006,0.0,0.0,25.0369,9.8991,101.0194,0.3928,4.9157,0.6607,1.6854,0.0563,4.3618,0.147,35.0685
26,4.5716,histogram,pid,0,1,0,0.3764,159.2399,11.0729,307.4068,-0.7601,-0.7709,-0.028,STOP,-0.019,-0.0088,-0.0002,0.0,0.0,24.9725,55.5484,18.0023,0.3928,1.0976,0.4155,1.7676,0.0773,4.6229,0.1491,0.0
27,4.5853,histogram,pid,0,1,0,0.3764,159.2399,11.0729,307.4068,-0.7601,-0.7677,-0.028,STOP,-0.019,-0.0088,-0.0002,0.0,0.0,38.7391,10.8867,91.8549,0.5996,1.4091,0.5594,2.5844,0.0796,5.9145,0.1692,0.0
28,4.5971,histogram,pid,0,1,0,0.3764,159.2399,11.0729,307.4068,-0.7601,-0.7654,-0.028,STOP,-0.019,-0.0089,-0.0001,0.0,0.0,50.5637,13.7291,72.838,0.6447,1.3218,0.4001,2.0828,0.0467,4.7058,0.3746,0.0
29,4.6529,histogram,pid,0,1,0,0.3764,159.2362,11.0685,307.404,-0.7638,-0.7649,-0.0283,STOP,-0.0191,-0.009,-0.0002,0.0,0.0,17.534,11.1458,89.72,0.435,1.5629,0.481,1.436,0.0705,4.529,0.173,37.5276
30,4.6635,histogram,pid,0,1,0,0.3764,159.2135,11.0067,307.4204,-0.7865,-0.7714,-0.0294,STOP,-0.0197,-0.0094,-0.0003,0.0,0.0,19.5034,55.8985,17.8896,0.4269,1.0593,0.4402,1.4269,0.0737,5.14,0.1643,0.0
31,4.6748,histogram,pid,0,1,0,0.3764,159.2135,11.0067,307.4204,-0.7865,-0.7759,-0.0294,STOP,-0.0197,-0.0095,-0.0002,0.0,0.0,30.8852,10.4744,95.4709,0.426,1.1144,0.4533,1.6423,0.0669,5.7829,0.1849,0.0
32,4.6872,histogram,pid,0,1,0,0.3764,159.2135,11.0067,307.4204,-0.7865,-0.7791,-0.0294,STOP,-0.0197,-0.0096,-0.0001,0.0,0.0,43.2408,12.1199,82.5089,0.4581,1.1646,0.4317,1.9721,0.0686,5.6626,0.1949,0.0
33,4.7462,histogram,pid,0,1,0,0.3764,159.2135,11.0067,307.4204,-0.7865,-0.7813,-0.0294,STOP,-0.0197,-0.0097,-0.0001,0.0,0.0,54.9301,11.9368,83.7747,0.7938,1.085,0.4172,2.2995,0.0701,4.8744,0.1583,40.6292
34,4.7555,histogram,pid,0,1,0,0.3736,159.2193,11.0258,307.4128,-0.7807,-0.7811,-0.0297,STOP,-0.0195,-0.0101,-0.0,0.0,0.0,20.7568,58.5096,17.0912,0.414,1.0857,0.4208,1.3668,0.0638,4.2964,0.1908,0.0
35,4.7658,histogram,pid,0,1,0,0.3736,159.2193,11.0258,307.4128,-0.7807,-0.781,-0.0297,STOP,-0.0195,-0.0102,-0.0,0.0,0.0,31.0852,9.4633,105.6719,0.4187,1.1058,0.4162,1.2595,0.0547,5.2326,0.1505,0.0
36,4.7767,histogram,pid,0,1,0,0.3736,159.2193,11.0258,307.4128,-0.7807,-0.7809,-0.0298,STOP,-0.0195,-0.0103,-0.0,0.0,0.0,41.9761,10.8159,92.4565,0.5151,2.1756,0.4361,1.332,0.0495,4.1718,0.145,0.0
37,4.83,histogram,pid,0,1,0,0.3764,159.2368,11.0696,307.404,-0.7632,-0.7756,-0.0288,STOP,-0.0191,-0.0103,0.0006,0.0,0.0,15.1823,10.2096,97.9475,0.502,1.034,0.4061,1.0879,0.05,4.1824,0.1483,37.647
38,4.8403,histogram,pid,0,1,0,0.3764,159.2324,11.058,307.4068,-0.7676,-0.7732,-0.0295,STOP,-0.0192,-0.0107,0.0004,0.0,0.0,44.7047,53.4133,18.7219,0.3898,1.0153,0.3962,1.9647,0.0583,4.7001,0.1585,0.0
39,4.8492,histogram,pid,0,1,0,0.3764,159.2324,11.058,307.4068,-0.7676,-0.7715,-0.0297,STOP,-0.0192,-0.0108,0.0003,0.0,0.0,53.6538,10.2464,97.5955,0.461,1.0157,0.3906,1.1885,0.0494,4.1675,0.1584,0.0
40,4.8601,histogram,pid,0,1,0,0.3736,159.2334,11.0541,307.4128,-0.7666,-0.77,-0.0298,STOP,-0.0192,-0.0108,0.0002,0.0,0.0,19.2722,8.9571,111.6431,0.4195,1.0513,0.4096,1.3677,0.0526,5.8119,0.1601,0.0
41,4.92,histogram,pid,0,1,0,0.3736,159.2334,11.0541,307.4128,-0.7666,-0.769,-0.0299,STOP,-0.0192,-0.0109,0.0002,0.0,0.0,32.0082,12.1572,82.2558,0.7281,2.3006,0.5087,1.2187,0.068,4.86,0.1755,40.5582
42,4.9314,histogram,pid,0,1,0,0.3764,159.2374,11.062,307.4128,-0.7626,-0.7671,-0.0303,STOP,-0.0191,-0.0114,0.0001,0.0,0.0,31.7246,59.6981,16.751,0.7669,1.0916,0.4364,1.7889,0.042,4.5729,0.1473,0.0
43,4.9405,histogram,pid,0,1,0,0.375,159.209,11.0052,307.4128,-0.791,-0.7743,-0.0322,STOP,-0.0198,-0.0114,-0.0009,0.0,0.0,14.6155,10.2074,97.9685,0.3901,1.1051,0.4789,1.1558,0.0541,4.3618,0.1429,0.0
44,4.9501,histogram,pid,0,1,0,0.375,159.209,11.0052,307.4128,-0.791,-0.7793,-0.0319,STOP,-0.0198,-0.0115,-0.0007,0.0,0.0,24.1908,9.2913,107.6278,0.5077,1.0573,0.4646,1.1141,0.0503,4.5061,0.2344,0.0
45,5.0078,histogram,pid,0,1,0,0.375,159.209,11.0052,307.4128,-0.791,-0.7828,-0.0318,STOP,-0.0198,-0.0116,-0.0005,0.0,0.0,35.7599,9.6398,103.737,1.237,1.2312,1.0091,1.2451,0.0557,4.4722,0.145,39.4272
46,5.0185,histogram,pid,0,1,0,0.375,159.2322,11.0591,307.4053,-0.7678,-0.7783,-0.0314,STOP,-0.0192,-0.012,-0.0002,0.0,0.0,31.9044,57.564,17.372,0.4011,1.0906,0.4415,1.4747,0.0555,5.1742,0.1508,0.0
47,5.0283,histogram,pid,0,1,0,0.375,159.2322,11.0591,307.4053,-0.7678,-0.7751,-0.0314,STOP,-0.0192,-0.0121,-0.0001,0.0,0.0,41.7953,11.1309,89.8396,0.7499,1.0599,0.4397,1.2551,0.0519,4.2134,0.1443,0.0
48,5.0383,histogram,pid,0,1,0,0.375,159.2544,11.0959,307.4128,-0.7456,-0.7663,-0.03,STOP,-0.0186,-0.0121,0.0008,0.0,0.0,18.1334,9.2734,107.8358,0.3788,1.075,0.4057,1.2187,0.0566,5.2176,0.1841,0.0
49,5.1007,histogram,pid,0,1,0,0.375,159.2544,11.0959,307.4128,-0.7456,-0.7601,-0.0303,STOP,-0.0186,-0.0122,0.0006,0.0,0.0,29.3791,10.1322,98.6957,0.4034,1.0801,0.4097,1.8227,0.0506,5.748,0.1658,43.6317
50,5.1168,histogram,pid,0,1,0,0.375,159.2466,11.0804,307.4128,-0.7534,-0.7581,-0.0311,STOP,-0.0188,-0.0127,0.0004,0.0,0.0,25.2923,62.8488,15.9112,0.6495,1.6764,0.6257,3.0536,0.0883,7.4934,0.2436,0.0
51,5.1312,histogram,pid,0,1,0,0.375,159.2466,11.0804,307.4128,-0.7534,-0.7567,-0.0314,STOP,-0.0188,-0.0128,0.0002,0.0,0.0,39.7661,16.0302,62.3821,0.6567,1.5631,0.6384,3.1899,0.0647,6.0514,0.2097,0.0
52,5.1453,histogram,pid,0,1,0,0.375,159.1477,10.8825,307.4128,-0.8523,-0.7854,-0.0366,STOP,-0.0213,-0.0129,-0.0024,0.0,0.0,25.1774,14.2007,70.419,0.6291,1.9365,0.63,1.7685,0.0682,6.9169,0.2199,0.0
53,5.221,histogram,pid,0,1,0,0.375,159.1477,10.8825,307.4128,-0.8523,-0.8055,-0.036,STOP,-0.0213,-0.013,-0.0017,0.0,0.0,40.067,14.4672,69.1218,0.6426,3.1757,0.6433,1.7842,0.0683,6.1381,0.2283,55.3345
54,5.2321,histogram,pid,0,1,0,0.3736,159.2741,11.1277,307.4204,-0.7259,-0.7816,-0.0322,STOP,-0.0181,-0.0135,-0.0006,0.0,0.0,23.1881,75.2208,13.2942,0.3985,1.0133,0.407,1.2195,0.0522,6.1734,0.1552,0.0
55,5.2446,histogram,pid,0,1,0,0.3736,159.2741,11.1277,307.4204,-0.7259,-0.7649,-0.0321,STOP,-0.0181,-0.0136,-0.0004,0.0,0.0,35.7458,11.0061,90.8591,1.3552,1.4477,1.068,2.4088,0.043,4.5065,0.1497,0.0
56,5.2547,histogram,pid,0,1,0,0.3736,159.1559,10.8964,307.4153,-0.8441,-0.7887,-0.0384,STOP,-0.0211,-0.0137,-0.0037,0.0,0.0,14.7864,13.0975,76.3505,0.4793,1.2215,0.4179,1.2476,0.1043,4.3253,0.1785,0.0
57,5.3185,histogram,pid,0,1,0,0.3736,159.1559,10.8964,307.4153,-0.8441,-0.8053,-0.0374,STOP,-0.0211,-0.0138,-0.0026,0.0,0.0,25.423,9.4423,105.9062,0.4141,1.0774,0.5573,1.3106,0.0703,5.5183,0.2098,45.7875
58,5.3311,histogram,pid,0,1,0,0.375,159.2369,11.067,307.4068,-0.7631,-0.7927,-0.0346,STOP,-0.0191,-0.0142,-0.0013,0.0,0.0,25.012,63.9106,15.6469,0.4091,1.1019,0.4858,4.0647,0.0881,4.5943,0.185,0.0
59,5.342,histogram,pid,0,1,0,0.375,159.2369,11.067,307.4068,-0.7631,-0.7838,-0.0343,STOP,-0.0191,-0.0143,-0.0009,0.0,0.0,35.9283,13.1716,75.9209,0.6741,1.7434,0.4142,1.2643,0.0488,4.3458,0.167,0.0
60,5.3518,histogram,pid,0,1,0,0.375,159.216,11.0223,307.4097,-0.784,-0.7838,-0.0354,STOP,-0.0196,-0.0144,-0.0014,0.0,0.0,16.7947,10.2512,97.5499,0.41,1.2241,0.4366,1.3835,0.0559,4.6213,0.1653,0.0
61,5.4154,histogram,pid,0,1,0,0.375,159.216,11.0223,307.4097,-0.784,-0.7839,-0.035,STOP,-0.0196,-0.0145,-0.001,0.0,0.0,27.7512,9.9259,100.7465,0.442,1.1398,0.4342,1.5624,0.0591,5.4504,0.1992,45.9542
62,5.4271,histogram,pid,0,1,0,0.375,159.2329,11.053,307.4128,-0.7671,-0.7788,-0.0347,STOP,-0.0192,-0.0149,-0.0006,0.0,0.0,33.8368,63.5684,15.7311,0.5015,1.2721,0.441,2.0605,0.0562,5.5756,0.1502,0.0
63,5.4389,histogram,pid,0,1,0,0.375,159.2329,11.053,307.4128,-0.7671,-0.7753,-0.0346,STOP,-0.0192,-0.015,-0.0004,0.0,0.0,45.6442,11.8554,84.3496,1.1234,1.1168,0.4471,1.3668,0.0752,5.6385,0.17,0.0
64,5.4489,histogram,pid,0,1,0,0.375,159.2437,11.0746,307.4128,-0.7563,-0.7696,-0.0339,STOP,-0.0189,-0.0151,0.0001,0.0,0.0,11.6733,11.5792,86.3619,0.4093,1.1328,0.4986,1.4284,0.0598,4.7654,0.1562,0.0
65,5.509,histogram,pid,0,1,0,0.375,159.2437,11.0746,307.4128,-0.7563,-0.7656,-0.034,STOP,-0.0189,-0.0152,0.0,0.0,0.0,22.2427,10.3372,96.7384,0.4237,1.1634,0.5068,1.5104,0.0582,4.787,0.1951,43.9997
66,5.519,histogram,pid,0,1,0,0.3764,159.205,10.9972,307.4128,-0.795,-0.7744,-0.0357,STOP,-0.0199,-0.0156,-0.0002,0.0,0.0,32.7314,59.7519,16.7359,0.4044,1.0867,0.4257,1.3244,0.053,4.9955,0.1767,0.0
67,5.5301,histogram,pid,0,1,0,0.3764,159.205,10.9972,307.4128,-0.795,-0.7806,-0.0357,STOP,-0.0199,-0.0157,-0.0001,0.0,0.0,43.8038,10.5224,95.0357,1.0349,1.1485,0.4395,1.4616,0.0655,4.6358,0.2348,0.0
68,5.5404,histogram,pid,0,1,0,0.375,159.2187,11.0247,307.4128,-0.7813,-0.7808,-0.0349,STOP,-0.0195,-0.0158,0.0004,0.0,0.0,18.4823,10.4978,95.2578,0.4107,1.1191,0.443,1.9095,0.0585,4.6805,0.2045,0.0
69,5.6039,histogram,pid,0,1,0,0.375,159.2187,11.0247,307.4128,-0.7813,-0.7809,-0.0351,STOP,-0.0195,-0.0158,0.0003,0.0,0.0,29.6297,10.5552,94.7403,0.5102,1.1294,0.4531,1.3513,0.0626,5.7231,0.1801,44.6748
70,5.6141,histogram,pid,0,1,0,0.375,159.2243,11.0417,307.4068,-0.7757,-0.7794,-0.0355,STOP,-0.0194,-0.0163,0.0002,0.0,0.0,28.5804,63.2717,15.8049,0.397,1.1972,0.4315,1.378,0.0603,5.069,0.2261,0.0
71,5.6242,histogram,pid,0,1,0,0.375,159.2243,11.0417,307.4068,-0.7757,-0.7783,-0.0356,STOP,-0.0194,-0.0164,0.0002,0.0,0.0,38.6469,10.4841,95.3827,0.5842,1.178,0.7094,1.4722,0.052,4.2206,0.1454,0.0
72,5.6364,histogram,pid,0,1,0,0.375,159.2249,11.0458,307.404,-0.7751,-0.7773,-0.0357,STOP,-0.0194,-0.0164,0.0001,0.0,0.0,19.0917,10.1446,98.5751,0.5689,1.2045,0.4142,3.476,0.0488,4.3951,0.2245,0.0
73,5.7057,histogram,pid,0,1,0,0.375,159.2249,11.0458,307.404,-0.7751,-0.7767,-0.0358,STOP,-0.0194,-0.0165,0.0001,0.0,0.0,30.7495,12.0128,83.2444,0.4664,2.3735,0.557,1.5471,0.0553,4.8792,0.1603,50.1304
74,5.7171,histogram,pid,0,1,0,0.375,159.2391,11.0667,307.4115,-0.7609,-0.7719,-0.0359,STOP,-0.019,-0.017,0.0001,0.0,0.0,31.6497,70.8192,14.1205,0.8199,1.3309,0.4281,1.1005,0.0484,4.1551,0.1758,0.0
